+------------------------------------------------------+
| Time of Transition | PID |  Old State  |  New State  |
+------------------------------------------------------+
|        0           |  1  |   NEW       |  READY      |
|        0           |  1  |   READY     |  RUNNING    |
|        100         |  1  |   RUNNING   |  READY      |
|        100         |  1  |   READY     |  RUNNING    |
|        125         |  1  |   RUNNING   |  WAITING    |
|        150         |  1  |   WAITING   |  READY      |
|        150         |  1  |   READY     |  RUNNING    |
|        250         |  1  |   RUNNING   |  READY      |
|        250         |  1  |   READY     |  RUNNING    |
|        275         |  1  |   RUNNING   |  WAITING    |
|        300         |  1  |   WAITING   |  READY      |
|        300         |  1  |   READY     |  RUNNING    |
|        400         |  1  |   RUNNING   |  READY      |
|        400         |  1  |   READY     |  RUNNING    |
|        425         |  1  |   RUNNING   |  WAITING    |
|        450         |  1  |   WAITING   |  READY      |
|        450         |  1  |   READY     |  RUNNING    |
|        500         |  2  |   NEW       |  READY      |
|        550         |  1  |   RUNNING   |  READY      |
|        550         |  2  |   READY     |  RUNNING    |
|        650         |  2  |   RUNNING   |  READY      |
|        650         |  1  |   READY     |  RUNNING    |
|        675         |  1  |   RUNNING   |  WAITING    |
|        675         |  2  |   READY     |  RUNNING    |
|        700         |  1  |   WAITING   |  READY      |
|        725         |  2  |   RUNNING   |  WAITING    |
|        725         |  1  |   READY     |  RUNNING    |
|        727         |  2  |   WAITING   |  READY      |
|        825         |  1  |   RUNNING   |  READY      |
|        825         |  2  |   READY     |  RUNNING    |
|        925         |  2  |   RUNNING   |  READY      |
|        925         |  1  |   READY     |  RUNNING    |
|        950         |  1  |   RUNNING   |  WAITING    |
|        950         |  2  |   READY     |  RUNNING    |
|        975         |  1  |   WAITING   |  READY      |
|        1000        |  2  |   RUNNING   |  WAITING    |
|        1000        |  1  |   READY     |  RUNNING    |
|        1002        |  2  |   WAITING   |  READY      |
|        1100        |  1  |   RUNNING   |  READY      |
|        1100        |  2  |   READY     |  RUNNING    |
|        1200        |  2  |   RUNNING   |  READY      |
|        1200        |  1  |   READY     |  RUNNING    |
|        1225        |  1  |   RUNNING   |  WAITING    |
|        1225        |  2  |   READY     |  RUNNING    |
|        1250        |  1  |   WAITING   |  READY      |
|        1275        |  2  |   RUNNING   |  WAITING    |
|        1275        |  1  |   READY     |  RUNNING    |
|        1277        |  2  |   WAITING   |  READY      |
|        1375        |  1  |   RUNNING   |  READY      |
|        1375        |  2  |   READY     |  RUNNING    |
|        1475        |  2  |   RUNNING   |  READY      |
|        1475        |  1  |   READY     |  RUNNING    |
|        1500        |  1  |   RUNNING   |  WAITING    |
|        1500        |  2  |   READY     |  RUNNING    |
|        1525        |  1  |   WAITING   |  READY      |
|        1550        |  2  |   RUNNING   |  WAITING    |
|        1550        |  1  |   READY     |  RUNNING    |
|        1552        |  2  |   WAITING   |  READY      |
|        1650        |  1  |   RUNNING   |  READY      |
|        1650        |  2  |   READY     |  RUNNING    |
|        1750        |  2  |   RUNNING   |  READY      |
|        1750        |  1  |   READY     |  RUNNING    |
|        1775        |  1  |   RUNNING   |  TERMINATED |
|        1775        |  2  |   READY     |  RUNNING    |
|        1825        |  2  |   RUNNING   |  WAITING    |
|        1827        |  2  |   WAITING   |  READY      |
|        1827        |  2  |   READY     |  RUNNING    |
|        1927        |  2  |   RUNNING   |  READY      |
|        1927        |  2  |   READY     |  RUNNING    |
|        1977        |  2  |   RUNNING   |  WAITING    |
|        1979        |  2  |   WAITING   |  READY      |
|        1979        |  2  |   READY     |  RUNNING    |
|        2079        |  2  |   RUNNING   |  READY      |
|        2079        |  2  |   READY     |  RUNNING    |
|        2129        |  2  |   RUNNING   |  WAITING    |
|        2131        |  2  |   WAITING   |  READY      |
|        2131        |  2  |   READY     |  RUNNING    |
|        2231        |  2  |   RUNNING   |  READY      |
|        2231        |  2  |   READY     |  RUNNING    |
|        2281        |  2  |   RUNNING   |  WAITING    |
|        2283        |  2  |   WAITING   |  READY      |
|        2283        |  2  |   READY     |  RUNNING    |
|        2383        |  2  |   RUNNING   |  READY      |
|        2383        |  2  |   READY     |  RUNNING    |
|        2433        |  2  |   RUNNING   |  WAITING    |
|        2435        |  2  |   WAITING   |  READY      |
|        2435        |  2  |   READY     |  RUNNING    |
|        2535        |  2  |   RUNNING   |  READY      |
|        2535        |  2  |   READY     |  RUNNING    |
|        2585        |  2  |   RUNNING   |  WAITING    |
|        2587        |  2  |   WAITING   |  READY      |
|        2587        |  2  |   READY     |  RUNNING    |
|        2687        |  2  |   RUNNING   |  READY      |
|        2687        |  2  |   READY     |  RUNNING    |
|        2737        |  2  |   RUNNING   |  WAITING    |
|        2739        |  2  |   WAITING   |  READY      |
|        2739        |  2  |   READY     |  RUNNING    |
|        2839        |  2  |   RUNNING   |  READY      |
|        2839        |  2  |   READY     |  RUNNING    |
|        2889        |  2  |   RUNNING   |  WAITING    |
|        2891        |  2  |   WAITING   |  READY      |
|        2891        |  2  |   READY     |  RUNNING    |
|        2991        |  2  |   RUNNING   |  READY      |
|        2991        |  2  |   READY     |  RUNNING    |
|        3041        |  2  |   RUNNING   |  WAITING    |
|        3043        |  2  |   WAITING   |  READY      |
|        3043        |  2  |   READY     |  RUNNING    |
|        3093        |  2  |   RUNNING   |  TERMINATED |
+------------------------------------------------------+
